time_of_day,activity,tail_position,ear_direction,food_eaten,mood
16.7,grooming,up,forward,0.94,happy
3.1,hiding,down,flat,0.24,grumpy
19.7,sleeping,down,backward,0.66,sleepy
1.5,sleeping,down,backward,0.62,sleepy
23.3,grooming,down,backward,0.54,sleepy
1.1,hunting,puffed,rotating,0.24,anxious
7.8,hunting,swishing,rotating,0.99,happy
11.4,hiding,tucked,rotating,0.14,anxious
16.8,grooming,swishing,rotating,0.93,happy
6.9,hunting,puffed,backward,0.45,playful
0.2,grooming,down,backward,0.48,sleepy
11.0,hunting,tucked,rotating,0.33,anxious
11.3,grooming,down,forward,0.57,playful
13.4,grooming,tucked,backward,0.62,sleepy
9.8,grooming,up,backward,0.16,anxious
7.0,playing,up,rotating,0.41,playful
15.9,eating,up,forward,0.91,happy
2.2,playing,swishing,forward,0.31,playful
12.0,grooming,up,forward,0.66,happy
7.2,eating,swishing,backward,0.45,playful
23.1,hunting,up,rotating,0.35,playful
23.3,eating,up,forward,0.71,happy
2.3,hiding,puffed,rotating,0.18,anxious
13.9,playing,up,rotating,0.42,playful
10.4,eating,puffed,forward,0.22,grumpy
10.0,hiding,puffed,flat,0.13,anxious
2.5,playing,tucked,forward,0.14,anxious
8.3,grooming,swishing,backward,0.17,grumpy
11.6,sleeping,down,backward,0.78,sleepy
22.5,hunting,down,backward,0.5,playful
8.0,grooming,up,forward,0.71,happy
21.5,hunting,up,forward,0.63,playful
6.7,playing,up,forward,0.57,playful
22.0,grooming,down,flat,0.03,grumpy
19.9,playing,up,flat,0.55,sleepy
12.4,hunting,down,rotating,0.42,playful
10.4,sleeping,down,backward,0.42,sleepy
21.4,eating,up,forward,0.9,happy
18.5,sleeping,tucked,backward,0.53,sleepy
6.3,grooming,down,backward,0.22,grumpy
3.7,hiding,up,forward,0.93,happy
7.4,hiding,puffed,rotating,0.16,anxious
0.3,grooming,down,backward,0.46,sleepy
12.2,playing,up,forward,0.35,playful
17.2,hunting,puffed,flat,0.34,anxious
22.3,grooming,up,forward,0.65,happy
15.9,grooming,up,forward,0.8,happy
13.3,grooming,swishing,flat,0.01,grumpy
10.1,grooming,down,backward,0.46,sleepy
19.3,grooming,up,forward,0.97,happy
19.9,playing,swishing,forward,0.34,playful
20.8,hunting,down,flat,0.18,grumpy
15.6,hunting,tucked,flat,0.23,anxious
17.9,grooming,tucked,backward,0.49,sleepy
3.5,grooming,swishing,flat,0.18,grumpy
22.1,eating,up,forward,0.66,happy
0.5,sleeping,down,flat,0.03,grumpy
16.3,playing,up,rotating,0.84,happy
21.0,grooming,up,forward,0.8,happy
6.0,grooming,swishing,backward,0.07,grumpy
9.0,grooming,up,forward,0.62,happy
22.2,hunting,up,forward,0.32,playful
19.2,hiding,puffed,rotating,0.79,sleepy
3.2,grooming,tucked,backward,0.71,sleepy
9.2,grooming,tucked,backward,0.59,sleepy
11.5,sleeping,down,backward,0.46,sleepy
7.9,eating,down,backward,0.75,happy
22.0,playing,up,forward,0.68,playful
15.7,eating,tucked,flat,0.74,sleepy
17.6,grooming,down,flat,0.09,grumpy
3.2,eating,up,forward,0.94,happy
22.5,grooming,swishing,flat,0.43,sleepy
18.8,hiding,tucked,rotating,0.28,anxious
2.3,grooming,down,backward,0.64,sleepy
11.2,hiding,swishing,backward,0.17,grumpy
14.4,hunting,swishing,rotating,0.5,playful
15.8,hunting,tucked,rotating,0.13,anxious
8.0,grooming,up,forward,0.87,happy
7.5,hunting,puffed,rotating,0.21,anxious
9.2,hiding,up,forward,0.13,grumpy
18.7,sleeping,tucked,backward,0.77,sleepy
22.8,hiding,puffed,rotating,0.32,anxious
14.1,playing,swishing,rotating,0.35,playful
7.1,hunting,up,backward,0.93,happy
18.8,sleeping,down,backward,0.77,sleepy
20.1,eating,puffed,forward,0.09,grumpy
2.2,grooming,puffed,forward,0.66,sleepy
18.6,hunting,tucked,flat,0.14,anxious
0.1,sleeping,puffed,backward,0.01,grumpy
20.4,hunting,swishing,rotating,0.17,anxious
16.8,hunting,puffed,rotating,0.71,sleepy
3.0,sleeping,down,backward,0.48,sleepy
3.7,hunting,puffed,rotating,0.36,anxious
23.5,hunting,up,backward,0.68,sleepy
21.2,grooming,up,flat,0.11,anxious
23.5,hunting,down,forward,0.37,playful
3.5,playing,up,rotating,0.53,playful
15.6,hiding,tucked,flat,0.21,grumpy
11.4,hiding,tucked,flat,0.46,playful
10.3,sleeping,puffed,backward,0.72,happy
5.2,hunting,puffed,flat,0.22,anxious
11.4,grooming,puffed,forward,0.57,sleepy
16.8,eating,up,forward,0.83,happy
13.2,hunting,swishing,forward,0.61,playful
12.3,eating,up,forward,0.74,happy
12.5,grooming,down,backward,0.6,sleepy
11.9,sleeping,down,backward,0.73,sleepy
6.7,sleeping,puffed,rotating,0.62,happy
0.4,eating,swishing,backward,0.6,playful
14.4,hunting,up,forward,0.36,playful
18.5,hiding,puffed,rotating,0.4,anxious
15.4,playing,up,rotating,0.46,playful
4.0,sleeping,swishing,flat,0.05,grumpy
23.8,hunting,swishing,rotating,0.64,playful
18.1,hiding,puffed,flat,0.12,anxious
4.3,eating,up,forward,0.66,happy
11.8,hiding,swishing,forward,0.09,grumpy
20.2,grooming,down,backward,0.5,sleepy
